vr_code,instagram_reel,facebook_post,youtube_short
VR001,https://valueradar.in/products/atom-aliston-sf400-kitchen-scale/?utm_source=instagram&utm_medium=social&utm_campaign=vr001-kitchen-scale&utm_content=reel,https://valueradar.in/products/atom-aliston-sf400-kitchen-scale/?utm_source=facebook&utm_medium=social&utm_campaign=vr001-kitchen-scale&utm_content=post,https://valueradar.in/products/atom-aliston-sf400-kitchen-scale/?utm_source=youtube&utm_medium=social&utm_campaign=vr001-kitchen-scale&utm_content=short
VR002,https://valueradar.in/products/agaro-elite-rechargeable-mini-chopper-250ml/?utm_source=instagram&utm_medium=social&utm_campaign=vr002-agaro-chopper&utm_content=reel,https://valueradar.in/products/agaro-elite-rechargeable-mini-chopper-250ml/?utm_source=facebook&utm_medium=social&utm_campaign=vr002-agaro-chopper&utm_content=post,https://valueradar.in/products/agaro-elite-rechargeable-mini-chopper-250ml/?utm_source=youtube&utm_medium=social&utm_campaign=vr002-agaro-chopper&utm_content=short
VR003,https://valueradar.in/products/nova-blue-electric-egg-boiler-nec-1530/?utm_source=instagram&utm_medium=social&utm_campaign=vr003-nova-egg-boiler&utm_content=reel,https://valueradar.in/products/nova-blue-electric-egg-boiler-nec-1530/?utm_source=facebook&utm_medium=social&utm_campaign=vr003-nova-egg-boiler&utm_content=post,https://valueradar.in/products/nova-blue-electric-egg-boiler-nec-1530/?utm_source=youtube&utm_medium=social&utm_campaign=vr003-nova-egg-boiler&utm_content=short
VR004,https://valueradar.in/products/prestige-pgmfb-grill-sandwich-maker/?utm_source=instagram&utm_medium=social&utm_campaign=vr004-prestige-sandwich&utm_content=reel,https://valueradar.in/products/prestige-pgmfb-grill-sandwich-maker/?utm_source=facebook&utm_medium=social&utm_campaign=vr004-prestige-sandwich&utm_content=post,https://valueradar.in/products/prestige-pgmfb-grill-sandwich-maker/?utm_source=youtube&utm_medium=social&utm_campaign=vr004-prestige-sandwich&utm_content=short
